Infinite-ISP Performance & Accuracy Analysis Report
====================================================

Dataset: Mediatek RAW -> Fujifilm Ground Truth
Number of images: 2417
Total Processing Time: 1104.0592 seconds
Average Time Per Image: 0.4568 seconds
Overall FPS: 2.19 Frames/Second
Average PSNR: 20.8483 dB
Average SSIM: 0.765946

Individual Results:
Filename             | Time(s) | FPS | PSNR(dB) | SSIM
12083.png            | 0.4232 | 2.36 | 23.34 | 0.7940
12088.png            | 0.4231 | 2.36 | 20.64 | 0.8902
1209.png             | 0.4208 | 2.38 | 18.79 | 0.7987
12096.png            | 0.4233 | 2.36 | 24.73 | 0.8746
12109.png            | 0.4216 | 2.37 | 20.86 | 0.7918
12129.png            | 0.4217 | 2.37 | 27.63 | 0.7352
12141.png            | 0.4188 | 2.39 | 15.37 | 0.6565
12155.png            | 0.4145 | 2.41 | 20.81 | 0.9625
12168.png            | 0.4216 | 2.37 | 14.77 | 0.8095
12171.png            | 0.4209 | 2.38 | 15.14 | 0.6882
12175.png            | 0.4187 | 2.39 | 17.35 | 0.6307
12188.png            | 0.4253 | 2.35 | 16.74 | 0.8428
12198.png            | 0.4271 | 2.34 | 19.94 | 0.8845
12212.png            | 0.4227 | 2.37 | 25.41 | 0.7819
12218.png            | 0.4212 | 2.37 | 18.94 | 0.5979
1223.png             | 0.4235 | 2.36 | 18.09 | 0.6815
1225.png             | 0.4184 | 2.39 | 17.59 | 0.5893
12259.png            | 0.4252 | 2.35 | 19.25 | 0.6781
12277.png            | 0.4215 | 2.37 | 20.54 | 0.7367
12283.png            | 0.4224 | 2.37 | 18.96 | 0.6157
12287.png            | 0.4239 | 2.36 | 22.90 | 0.7173
12311.png            | 0.4230 | 2.36 | 25.22 | 0.7319
12312.png            | 0.4233 | 2.36 | 22.98 | 0.7561
12314.png            | 0.4248 | 2.35 | 23.91 | 0.7654
12322.png            | 0.4193 | 2.39 | 23.78 | 0.5785
12327.png            | 0.4232 | 2.36 | 25.48 | 0.6474
12354.png            | 0.4214 | 2.37 | 16.82 | 0.5000
12406.png            | 0.4217 | 2.37 | 24.25 | 0.6682
12411.png            | 0.4196 | 2.38 | 17.12 | 0.6502
12422.png            | 0.4244 | 2.36 | 19.53 | 0.7187
12424.png            | 0.4243 | 2.36 | 24.22 | 0.7961
12436.png            | 0.4238 | 2.36 | 23.33 | 0.5999
12451.png            | 0.4210 | 2.38 | 29.89 | 0.8991
12454.png            | 0.4232 | 2.36 | 20.41 | 0.6955
12457.png            | 0.4278 | 2.34 | 22.44 | 0.7608
12482.png            | 0.4219 | 2.37 | 16.21 | 0.9417
12485.png            | 0.4214 | 2.37 | 16.21 | 0.8434
12486.png            | 0.4249 | 2.35 | 16.07 | 0.8012
